id,name,role,department,education,recruitment_channel,number_of_trainings,age,length_of_service_years,experience_years,skills,performance_rating,assessment_technical,assessment_communication,assessment_leadership,potential_rating
1,Nikhil Mehta_0,Research Associate,Sales,BBA,Referral,4,53,9,11,"Strategic Thinking, Problem Solving, Communication, Networking",2.99,93,71,73,2.81
2,Manoj Pillai_1,Business Analyst,IT,MSc,Sourcing,6,28,6,7,"Networking, Strategic Thinking, Negotiation, Communication",2.71,67,92,81,3.27
3,Tanvi Rao_2,Operations Manager,Marketing,MBA,Campus,3,25,8,13,"Strategic Thinking, SQL, Project Management, Communication",4.97,60,68,79,3.93
4,Nikhil Mehta_3,Software Engineer,IT,BTech,Direct,3,34,9,12,"Networking, Machine Learning, SQL",4.17,60,65,90,2.41
5,Rohit Gupta_4,Product Manager,Sales,MTech,Direct,4,27,3,4,"Leadership, Python, Java, Problem Solving, Networking, SQL",4.87,81,52,89,4.92
6,Tanvi Rao_5,Sales Executive,IT,BCom,Campus,1,27,12,17,"Data Visualization, Financial Analysis, Networking, Communication, Strategic Thinking, SQL",3.13,52,96,82,3.02
7,Amit Sharma_6,Finance Analyst,IT,MSc,Sourcing,6,54,11,12,"Customer Relationship, Financial Analysis, Networking, Problem Solving",2.08,56,78,63,3.17
8,Karan Singh_7,Consultant,Marketing,PhD,Sourcing,3,46,20,22,"SQL, Strategic Thinking, Data Visualization, Project Management, Machine Learning",2.8,56,100,80,2.24
9,Priya Verma_8,Network Engineer,Marketing,MSc,Referral,4,47,15,17,"Communication, Negotiation, SQL, Customer Relationship, Leadership",2.38,69,64,62,4.91
10,Rohit Gupta_9,Research Associate,R&D,BCom,Sourcing,3,34,6,6,"Project Management, Networking, Strategic Thinking, Communication",3.4,57,77,84,4.83
11,Priya Verma_10,Research Associate,IT,BCom,Campus,6,47,5,8,"Project Management, Leadership, Networking",4.19,90,83,77,2.39
12,Manoj Pillai_11,Finance Analyst,Marketing,BA,Direct,5,44,14,19,"Negotiation, Data Visualization, Networking, Leadership, Communication, SQL",3.45,59,57,56,2.46
13,Karan Singh_12,Product Manager,HR,BTech,Referral,0,28,20,21,"SQL, Strategic Thinking, Cloud Computing, Communication",3.47,52,52,80,3.24
14,Rohit Gupta_13,Data Scientist,Operations,BA,Sourcing,0,49,12,17,"Leadership, Communication, Data Visualization, Cloud Computing, Networking",4.6,78,72,74,2.32
15,Vikram Sethi_14,Finance Analyst,HR,BCom,Sourcing,4,39,11,15,"Problem Solving, Customer Relationship, SQL, Communication",3.81,59,56,75,2.07
